Parser errors:
IOService.h: (1544:1) Unable to convert: 'APPLE_KEXT_COMPATIBILITY_VIRTUAL'
IOService.h: (1545:1) Unable to convert: 'void'
IOService.h: (1545:6) Unable to convert: 'doServiceMatch'
IOService.h: (1545:20) Unable to convert: '('
IOService.h: (1545:22) Unable to convert: 'IOOptionBits'
IOService.h: (1545:35) Unable to convert: 'options'
IOService.h: (1545:43) Unable to convert: ')'
IOService.h: (1545:44) Unable to convert: ';'
IOService.h: (1546:1) Unable to convert: 'APPLE_KEXT_COMPATIBILITY_VIRTUAL'
IOService.h: (1547:1) Unable to convert: 'void'
IOService.h: (1541:35) Unable to convert: 'matching'
IOService.h: (1541:33) Unable to convert: '*'
IOService.h: (1541:20) Unable to convert: 'OSDictionary'
IOService.h: (1541:18) Unable to convert: '('
IOService.h: (1530:1) Unable to convert: 'APPLE_KEXT_COMPATIBILITY_VIRTUAL'
IOService.h: (1531:1) Unable to convert: 'bool'
IOService.h: (1531:6) Unable to convert: 'startCandidate'
IOService.h: (1531:20) Unable to convert: '('
IOService.h: (1531:22) Unable to convert: 'IOService'
IOService.h: (1531:32) Unable to convert: '*'
IOService.h: (1531:34) Unable to convert: 'candidate'
IOService.h: (1531:44) Unable to convert: ')'
IOService.h: (1531:45) Unable to convert: ';'
IOService.h: (1533:0) Unable to convert: 'public'
IOService.h: (1533:6) Unable to convert: ':'
IOService.h: (1534:1) Unable to convert: 'APPLE_KEXT_COMPATIBILITY_VIRTUAL'
IOService.h: (1535:1) Unable to convert: 'IOService'
IOService.h: (1529:63) Unable to convert: ')'
IOService.h: (1535:11) Unable to convert: '*'
IOService.h: (1535:34) Unable to convert: '('
IOService.h: (1535:36) Unable to convert: 'const'
IOService.h: (1535:42) Unable to convert: 'OSSymbol'
IOService.h: (1535:51) Unable to convert: '*'
IOService.h: (1535:53) Unable to convert: 'category'
IOService.h: (1535:62) Unable to convert: ')'
IOService.h: (1536:1) Unable to convert: 'APPLE_KEXT_DEPRECATED'
IOService.h: (1536:22) Unable to convert: ';'
IOService.h: (1539:0) Unable to convert: 'private'
IOService.h: (1539:7) Unable to convert: ':'
IOService.h: (1540:1) Unable to convert: 'APPLE_KEXT_COMPATIBILITY_VIRTUAL'
IOService.h: (1541:1) Unable to convert: 'bool'
IOService.h: (1541:6) Unable to convert: 'passiveMatch'
IOService.h: (1535:13) Unable to convert: 'getClientWithCategory'
IOService.h: (1500:28) Unable to convert: '('
IOService.h: (1500:13) Unable to convert: 'errnoFromReturn'
IOService.h: (1500:9) Unable to convert: 'int'
IOService.h: (1469:12) Unable to convert: 'type'
IOService.h: (1469:16) Unable to convert: ','
IOService.h: (1469:18) Unable to convert: 'OSDictionary'
IOService.h: (1469:31) Unable to convert: '*'
IOService.h: (1469:33) Unable to convert: 'properties'
IOService.h: (1469:43) Unable to convert: ','
IOService.h: (1470:5) Unable to convert: 'LIBKERN_RETURNS_RETAINED'
IOService.h: (1470:30) Unable to convert: 'IOUserClient'
IOService.h: (1470:43) Unable to convert: '*'
IOService.h: (1470:44) Unable to convert: '*'
IOService.h: (1470:46) Unable to convert: 'handler'
IOService.h: (1470:54) Unable to convert: ')'
IOService.h: (1470:55) Unable to convert: ';'
IOService.h: (1472:1) Unable to convert: 'virtual'
IOService.h: (1472:9) Unable to convert: 'IOReturn'
IOService.h: (1472:18) Unable to convert: 'newUserClient'
IOService.h: (1472:31) Unable to convert: '('
IOService.h: (1472:33) Unable to convert: 'task_t'
IOService.h: (1472:40) Unable to convert: 'owningTask'
IOService.h: (1472:50) Unable to convert: ','
IOService.h: (1472:52) Unable to convert: 'void'
IOService.h: (1472:57) Unable to convert: '*'
IOService.h: (1472:59) Unable to convert: 'securityID'
IOService.h: (1472:69) Unable to convert: ','
IOService.h: (1473:5) Unable to convert: 'UInt32'
IOService.h: (1473:12) Unable to convert: 'type'
IOService.h: (1473:16) Unable to convert: ','
IOService.h: (1469:5) Unable to convert: 'UInt32'
IOService.h: (1468:69) Unable to convert: ','
IOService.h: (1468:59) Unable to convert: 'securityID'
IOService.h: (1468:57) Unable to convert: '*'
IOService.h: (1449:64) Unable to convert: ','
IOService.h: (1450:5) Unable to convert: 'OSObjectApplierFunction'
IOService.h: (1450:29) Unable to convert: 'applier'
IOService.h: (1450:36) Unable to convert: ','
IOService.h: (1451:5) Unable to convert: 'void'
IOService.h: (1451:10) Unable to convert: '*'
IOService.h: (1451:12) Unable to convert: 'context'
IOService.h: (1451:20) Unable to convert: ')'
IOService.h: (1451:21) Unable to convert: ';'
IOService.h: (1453:1) Unable to convert: 'virtual'
IOService.h: (1453:9) Unable to convert: 'IOReturn'
IOService.h: (1453:18) Unable to convert: 'acknowledgeNotification'
IOService.h: (1453:41) Unable to convert: '('
IOService.h: (1474:5) Unable to convert: 'LIBKERN_RETURNS_RETAINED'
IOService.h: (1453:43) Unable to convert: 'IONotificationRef'
IOService.h: (1453:73) Unable to convert: ','
IOService.h: (1454:5) Unable to convert: 'IOOptionBits'
IOService.h: (1454:18) Unable to convert: 'response'
IOService.h: (1454:27) Unable to convert: ')'
IOService.h: (1454:28) Unable to convert: ';'
IOService.h: (1468:1) Unable to convert: 'virtual'
IOService.h: (1468:9) Unable to convert: 'IOReturn'
IOService.h: (1468:18) Unable to convert: 'newUserClient'
IOService.h: (1468:31) Unable to convert: '('
IOService.h: (1468:33) Unable to convert: 'task_t'
IOService.h: (1468:40) Unable to convert: 'owningTask'
IOService.h: (1468:50) Unable to convert: ','
IOService.h: (1468:52) Unable to convert: 'void'
IOService.h: (1453:61) Unable to convert: 'notification'
IOService.h: (1474:30) Unable to convert: 'IOUserClient'
IOService.h: (1474:43) Unable to convert: '*'
IOService.h: (1474:44) Unable to convert: '*'
IOService.h: (1480:32) Unable to convert: 'owningTask'
IOService.h: (1480:42) Unable to convert: ','
IOService.h: (1480:44) Unable to convert: 'void'
IOService.h: (1480:49) Unable to convert: '*'
